Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Industrial Process and Product Use,,,1169,Hay,Riverina Murray,Regional,13850
2016,1,Industrial Process and Product Use,,,53128,Hilltops,South East and Tablelands,Regional,13910
2016,1,Industrial Process and Product Use,,,57721,Hornsby,Eastern Harbour City,Six Cities,14000
2016,1,Industrial Process and Product Use,,,5740,Hunters Hill,Eastern Harbour City,Six Cities,14100
2016,1,Industrial Process and Product Use,,,74878,Inner West,Eastern Harbour City,Six Cities,14170
2016,1,Industrial Process and Product Use,,,6584,Inverell,New England North West,Regional,14200
2016,1,Industrial Process and Product Use,,,2512,Junee,Riverina Murray,Regional,14300
2016,1,Industrial Process and Product Use,,,11526,Kempsey,North Coast,Regional,14350
2016,1,Industrial Process and Product Use,,,8659,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2016,1,Industrial Process and Product Use,,,47964,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2016,1,Industrial Process and Product Use,,,3569,Kyogle,North Coast,Regional,14550
2016,1,Industrial Process and Product Use,,,2489,Lachlan,Central West and Orana,Regional,14600
2016,1,Industrial Process and Product Use,,,79240,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Industrial Process and Product Use,,,14762,Lane Cove,Eastern Harbour City,Six Cities,14700
2016,1,Industrial Process and Product Use,,,4467,Leeton,Riverina Murray,Regional,14750
2016,1,Industrial Process and Product Use,,,17280,Lismore,North Coast,Regional,14850
2016,1,Industrial Process and Product Use,,,8414,Lithgow,Central West and Orana,Regional,14870
2016,1,Industrial Process and Product Use,,,83020,Liverpool,Western Parkland City,Six Cities,14900
2016,1,Industrial Process and Product Use,,,3073,Liverpool Plains,New England North West,Regional,14920
2016,1,Industrial Process and Product Use,,,1243,Lockhart,Riverina Murray,Regional,14950
2016,1,Industrial Process and Product Use,,,30964,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2016,1,Industrial Process and Product Use,,,35952,Mid-Coast,Upper Hunter,Regional,15240
2016,1,Industrial Process and Product Use,,,26702,Mid-Western Regional,Central West and Orana,Regional,15270
2016,1,Industrial Process and Product Use,,,5337,Moree Plains,New England North West,Regional,15300
2016,1,Industrial Process and Product Use,,,11851,Mosman,Eastern Harbour City,Six Cities,15350
2016,1,Industrial Process and Product Use,,,4649,Murray River,Riverina Murray,Regional,15520
2016,1,Industrial Process and Product Use,,,1539,Murrumbidgee,Riverina Murray,Regional,15560
2016,1,Industrial Process and Product Use,,,6447,Muswellbrook,Upper Hunter,Regional,15650
2016,1,Industrial Process and Product Use,,,7668,Nambucca,North Coast,Regional,15700
2016,1,Industrial Process and Product Use,,,5235,Narrabri,New England North West,Regional,15750
2016,1,Industrial Process and Product Use,,,2330,Narrandera,Riverina Murray,Regional,15800
2016,1,Industrial Process and Product Use,,,2591,Narromine,Central West and Orana,Regional,15850
2016,1,Industrial Process and Product Use,,,1054561,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2016,1,Industrial Process and Product Use,,,28123,North Sydney,Eastern Harbour City,Six Cities,15950
2016,1,Industrial Process and Product Use,,,103966,Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Industrial Process and Product Use,,,2095,Oberon,Central West and Orana,Regional,16100
2016,1,Industrial Process and Product Use,,,16139,Orange,Central West and Orana,Regional,16150
2016,1,Industrial Process and Product Use,,,5845,Parkes,Central West and Orana,Regional,16200
2016,1,Industrial Process and Product Use,,,91816,Parramatta,Central River City,Six Cities,16260
2016,1,Industrial Process and Product Use,,,94550,Penrith,Western Parkland City,Six Cities,16350
2016,1,Industrial Process and Product Use,,,31359,Port Macquarie-Hastings,North Coast,Regional,16380
2016,1,Industrial Process and Product Use,,,1090502,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2016,1,Industrial Process and Product Use,,,22633,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2016,1,Industrial Process and Product Use,,,58323,Randwick,Eastern Harbour City,Six Cities,16550
2016,1,Industrial Process and Product Use,,,9132,Richmond Valley,North Coast,Regional,16610
2016,1,Industrial Process and Product Use,,,47493,Ryde,Eastern Harbour City,Six Cities,16700
2016,1,Industrial Process and Product Use,,,27568,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2016,1,Industrial Process and Product Use,,,39924,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Industrial Process and Product Use,,,9233,Singleton,Upper Hunter,Regional,17000
2016,1,Industrial Process and Product Use,,,8051,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Industrial Process and Product Use,,,5722,Snowy Valleys,Riverina Murray,Regional,17080
2016,1,Industrial Process and Product Use,,,16611,Strathfield,Eastern Harbour City,Six Cities,17100
2016,1,Industrial Process and Product Use,,,88690,Sutherland Shire,Central River City,Six Cities,17150
2016,1,Industrial Process and Product Use,,,89267,Sydney,Eastern Harbour City,Six Cities,17200
2016,1,Industrial Process and Product Use,,,52316,Tamworth Regional,New England North West,Regional,17310
2016,1,Industrial Process and Product Use,,,2432,Temora,Riverina Murray,Regional,17350
2016,1,Industrial Process and Product Use,,,2623,Tenterfield,New England North West,Regional,17400
2016,1,Industrial Process and Product Use,,,63827,The Hills Shire,Central River City,Six Cities,17420
2016,1,Industrial Process and Product Use,,,36713,Tweed,North Coast,Regional,17550
2016,1,Industrial Process and Product Use,,,5618,Upper Hunter Shire,Upper Hunter,Regional,17620
2016,1,Industrial Process and Product Use,,,3076,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2016,1,Industrial Process and Product Use,,,2407,Uralla,New England North West,Regional,17650
2016,1,Industrial Process and Product Use,,,30654,Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Industrial Process and Product Use,,,1226,Walcha,New England North West,Regional,17850
2016,1,Industrial Process and Product Use,,,2474,Walgett,Far West,Regional,17900
2016,1,Industrial Process and Product Use,,,1095,Warren,Central West and Orana,Regional,17950
2016,1,Industrial Process and Product Use,,,3745,Warrumbungle Shire,Central West and Orana,Regional,18020
2016,1,Industrial Process and Product Use,,,28203,Waverley,Eastern Harbour City,Six Cities,18050
2016,1,Industrial Process and Product Use,,,1440,Weddin,Central West and Orana,Regional,18100
2016,1,Industrial Process and Product Use,,,2715,Wentworth,Far West,Regional,18200
2016,1,Industrial Process and Product Use,,,30504,Willoughby,Eastern Harbour City,Six Cities,18250
2016,1,Industrial Process and Product Use,,,734337,Wingecarribee,South East and Tablelands,Regional,18350
2016,1,Industrial Process and Product Use,,,19525,Wollondilly,Western Parkland City,Six Cities,18400
2016,1,Industrial Process and Product Use,,,5876288,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2016,1,Industrial Process and Product Use,,,22615,Woollahra,Eastern Harbour City,Six Cities,18500
2016,1,Industrial Process and Product Use,,,6489,Yass Valley,South East and Tablelands,Regional,18710
2017,1,Industrial Process and Product Use,,,20203,Albury,Riverina Murray,Regional,10050
2017,1,Industrial Process and Product Use,,,11826,Armidale Regional,New England North West,Regional,10130
2017,1,Industrial Process and Product Use,,,16605,Ballina,North Coast,Regional,10250
2017,1,Industrial Process and Product Use,,,903,Balranald,Far West,Regional,10300
2017,1,Industrial Process and Product Use,,,16381,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,Industrial Process and Product Use,,,65825,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,Industrial Process and Product Use,,,13035,Bega Valley,South East and Tablelands,Regional,10550
2017,1,Industrial Process and Product Use,,,4982,Bellingen,North Coast,Regional,10600
2017,1,Industrial Process and Product Use,,,3307,Berrigan,Riverina Murray,Regional,10650
2017,1,Industrial Process and Product Use,,,173675,Blacktown,Central River City,Six Cities,10750
2017,1,Industrial Process and Product Use,,,2322,Bland,Riverina Murray,Regional,10800
2017,1,Industrial Process and Product Use,,,2826,Blayney,Central West and Orana,Regional,10850
2017,1,Industrial Process and Product Use,,,30255,Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,Industrial Process and Product Use,,,1055,Bogan,Central West and Orana,Regional,10950
2017,1,Industrial Process and Product Use,,,1058,Bourke,Far West,Regional,11150
2017,1,Industrial Process and Product Use,,,650,Brewarrina,Far West,Regional,11200
2017,1,Industrial Process and Product Use,,,6891,Broken Hill,Far West,Regional,11250
2017,1,Industrial Process and Product Use,,,15355,Burwood,Eastern Harbour City,Six Cities,11300
2017,1,Industrial Process and Product Use,,,12938,Byron,North Coast,Regional,11350
2017,1,Industrial Process and Product Use,,,5227,Cabonne,Central West and Orana,Regional,11400
2017,1,Industrial Process and Product Use,,,38558,Camden,Western Parkland City,Six Cities,11450
2017,1,Industrial Process and Product Use,,,64357,Campbelltown,Western Parkland City,Six Cities,11500
2017,1,Industrial Process and Product Use,,,35976,Canada Bay,Eastern Harbour City,Six Cities,11520
2017,1,Industrial Process and Product Use,,,142474,Canterbury-Bankstown,Central River City,Six Cities,11570
2017,1,Industrial Process and Product Use,,,1070,Carrathool,Riverina Murray,Regional,11600
2017,1,Industrial Process and Product Use,,,131599,Central Coast,Central Coast City,Six Cities,11650
2017,1,Industrial Process and Product Use,,,719,Central Darling,Far West,Regional,11700
2017,1,Industrial Process and Product Use,,,22038,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2017,1,Industrial Process and Product Use,,,19877,Clarence Valley,North Coast,Regional,11730
2017,1,Industrial Process and Product Use,,,1830,Cobar,Far West,Regional,11750
2017,1,Industrial Process and Product Use,,,29013,Coffs Harbour,North Coast,Regional,11800
2017,1,Industrial Process and Product Use,,,1688,Coolamon,Riverina Murray,Regional,12000
2017,1,Industrial Process and Product Use,,,1542,Coonamble,Central West and Orana,Regional,12150
2017,1,Industrial Process and Product Use,,,4313,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2017,1,Industrial Process and Product Use,,,4860,Cowra,Central West and Orana,Regional,12350
2017,1,Industrial Process and Product Use,,,89936,Cumberland,Central River City,Six Cities,12380
2017,1,Industrial Process and Product Use,,,19918,Dubbo Regional,Central West and Orana,Regional,12390
2017,1,Industrial Process and Product Use,,,3506,Dungog,Upper Hunter,Regional,12700
2017,1,Industrial Process and Product Use,,,3441,Edward River,Riverina Murray,Regional,12730
2017,1,Industrial Process and Product Use,,,14538,Eurobodalla,South East and Tablelands,Regional,12750
2017,1,Industrial Process and Product Use,,,103155,Fairfield,Western Parkland City,Six Cities,12850
2017,1,Industrial Process and Product Use,,,24401,Federation,Riverina Murray,Regional,12870
2017,1,Industrial Process and Product Use,,,3781,Forbes,Central West and Orana,Regional,12900
2017,1,Industrial Process and Product Use,,,59457,Georges River,Central River City,Six Cities,12930
2017,1,Industrial Process and Product Use,,,1632,Gilgandra,Central West and Orana,Regional,12950
2017,1,Industrial Process and Product Use,,,3400,Glen Innes Severn,New England North West,Regional,13010
2017,1,Industrial Process and Product Use,,,60914,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2017,1,Industrial Process and Product Use,,,6075,Greater Hume Shire,Riverina Murray,Regional,13340
2017,1,Industrial Process and Product Use,,,10175,Griffith,Riverina Murray,Regional,13450
2017,1,Industrial Process and Product Use,,,4806,Gunnedah,New England North West,Regional,13550
2017,1,Industrial Process and Product Use,,,2039,Gwydir,New England North West,Regional,13660
2017,1,Industrial Process and Product Use,,,25539,Hawkesbury,Western Parkland City,Six Cities,13800
2017,1,Industrial Process and Product Use,,,1137,Hay,Riverina Murray,Regional,13850
2017,1,Industrial Process and Product Use,,,75626,Hilltops,South East and Tablelands,Regional,13910
2017,1,Industrial Process and Product Use,,,57261,Hornsby,Eastern Harbour City,Six Cities,14000
2017,1,Industrial Process and Product Use,,,5590,Hunters Hill,Eastern Harbour City,Six Cities,14100
2017,1,Industrial Process and Product Use,,,74655,Inner West,Eastern Harbour City,Six Cities,14170
2017,1,Industrial Process and Product Use,,,6460,Inverell,New England North West,Regional,14200
2017,1,Industrial Process and Product Use,,,2496,Junee,Riverina Murray,Regional,14300
2017,1,Industrial Process and Product Use,,,11304,Kempsey,North Coast,Regional,14350
2017,1,Industrial Process and Product Use,,,8562,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2017,1,Industrial Process and Product Use,,,47810,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2017,1,Industrial Process and Product Use,,,3478,Kyogle,North Coast,Regional,14550
2017,1,Industrial Process and Product Use,,,2435,Lachlan,Central West and Orana,Regional,14600
2017,1,Industrial Process and Product Use,,,78286,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2017,1,Industrial Process and Product Use,,,14941,Lane Cove,Eastern Harbour City,Six Cities,14700
2017,1,Industrial Process and Product Use,,,4406,Leeton,Riverina Murray,Regional,14750
2017,1,Industrial Process and Product Use,,,17084,Lismore,North Coast,Regional,14850
2017,1,Industrial Process and Product Use,,,8258,Lithgow,Central West and Orana,Regional,14870
2017,1,Industrial Process and Product Use,,,84424,Liverpool,Western Parkland City,Six Cities,14900
2017,1,Industrial Process and Product Use,,,2999,Liverpool Plains,New England North West,Regional,14920
2017,1,Industrial Process and Product Use,,,1221,Lockhart,Riverina Murray,Regional,14950
2017,1,Industrial Process and Product Use,,,30808,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
