Year,ScopeID,Sector,SubSector1,SubSector2,Emissions_tonnes_CO2-e,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2016,1,Stationary Energy (excluding Electricity Generation),,,11840,Hay,Riverina Murray,Regional,13850
2016,1,Stationary Energy (excluding Electricity Generation),,,41814,Hilltops,South East and Tablelands,Regional,13910
2016,1,Stationary Energy (excluding Electricity Generation),,,54244,Hornsby,Eastern Harbour City,Six Cities,14000
2016,1,Stationary Energy (excluding Electricity Generation),,,7585,Hunters Hill,Eastern Harbour City,Six Cities,14100
2016,1,Stationary Energy (excluding Electricity Generation),,,87846,Inner West,Eastern Harbour City,Six Cities,14170
2016,1,Stationary Energy (excluding Electricity Generation),,,25608,Inverell,New England North West,Regional,14200
2016,1,Stationary Energy (excluding Electricity Generation),,,9595,Junee,Riverina Murray,Regional,14300
2016,1,Stationary Energy (excluding Electricity Generation),,,17535,Kempsey,North Coast,Regional,14350
2016,1,Stationary Energy (excluding Electricity Generation),,,7492,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2016,1,Stationary Energy (excluding Electricity Generation),,,57677,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2016,1,Stationary Energy (excluding Electricity Generation),,,8170,Kyogle,North Coast,Regional,14550
2016,1,Stationary Energy (excluding Electricity Generation),,,117070,Lachlan,Central West and Orana,Regional,14600
2016,1,Stationary Energy (excluding Electricity Generation),,,62706,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2016,1,Stationary Energy (excluding Electricity Generation),,,23996,Lane Cove,Eastern Harbour City,Six Cities,14700
2016,1,Stationary Energy (excluding Electricity Generation),,,21483,Leeton,Riverina Murray,Regional,14750
2016,1,Stationary Energy (excluding Electricity Generation),,,10963,Lismore,North Coast,Regional,14850
2016,1,Stationary Energy (excluding Electricity Generation),,,34782,Lithgow,Central West and Orana,Regional,14870
2016,1,Stationary Energy (excluding Electricity Generation),,,82190,Liverpool,Western Parkland City,Six Cities,14900
2016,1,Stationary Energy (excluding Electricity Generation),,,48677,Liverpool Plains,New England North West,Regional,14920
2016,1,Stationary Energy (excluding Electricity Generation),,,15972,Lockhart,Riverina Murray,Regional,14950
2016,1,Stationary Energy (excluding Electricity Generation),,,79517,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2016,1,Stationary Energy (excluding Electricity Generation),,,78236,Mid-Coast,Upper Hunter,Regional,15240
2016,1,Stationary Energy (excluding Electricity Generation),,,268061,Mid-Western Regional,Central West and Orana,Regional,15270
2016,1,Stationary Energy (excluding Electricity Generation),,,96109,Moree Plains,New England North West,Regional,15300
2016,1,Stationary Energy (excluding Electricity Generation),,,18140,Mosman,Eastern Harbour City,Six Cities,15350
2016,1,Stationary Energy (excluding Electricity Generation),,,60927,Murray River,Riverina Murray,Regional,15520
2016,1,Stationary Energy (excluding Electricity Generation),,,30107,Murrumbidgee,Riverina Murray,Regional,15560
2016,1,Stationary Energy (excluding Electricity Generation),,,783763,Muswellbrook,Upper Hunter,Regional,15650
2016,1,Stationary Energy (excluding Electricity Generation),,,28314,Nambucca,North Coast,Regional,15700
2016,1,Stationary Energy (excluding Electricity Generation),,,433689,Narrabri,New England North West,Regional,15750
2016,1,Stationary Energy (excluding Electricity Generation),,,9356,Narrandera,Riverina Murray,Regional,15800
2016,1,Stationary Energy (excluding Electricity Generation),,,39537,Narromine,Central West and Orana,Regional,15850
2016,1,Stationary Energy (excluding Electricity Generation),,,505233,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2016,1,Stationary Energy (excluding Electricity Generation),,,48044,North Sydney,Eastern Harbour City,Six Cities,15950
2016,1,Stationary Energy (excluding Electricity Generation),,,118651,Northern Beaches,Eastern Harbour City,Six Cities,15990
2016,1,Stationary Energy (excluding Electricity Generation),,,46729,Oberon,Central West and Orana,Regional,16100
2016,1,Stationary Energy (excluding Electricity Generation),,,75977,Orange,Central West and Orana,Regional,16150
2016,1,Stationary Energy (excluding Electricity Generation),,,57955,Parkes,Central West and Orana,Regional,16200
2016,1,Stationary Energy (excluding Electricity Generation),,,129266,Parramatta,Central River City,Six Cities,16260
2016,1,Stationary Energy (excluding Electricity Generation),,,142963,Penrith,Western Parkland City,Six Cities,16350
2016,1,Stationary Energy (excluding Electricity Generation),,,37076,Port Macquarie-Hastings,North Coast,Regional,16380
2016,1,Stationary Energy (excluding Electricity Generation),,,129161,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2016,1,Stationary Energy (excluding Electricity Generation),,,16916,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2016,1,Stationary Energy (excluding Electricity Generation),,,80029,Randwick,Eastern Harbour City,Six Cities,16550
2016,1,Stationary Energy (excluding Electricity Generation),,,19659,Richmond Valley,North Coast,Regional,16610
2016,1,Stationary Energy (excluding Electricity Generation),,,63895,Ryde,Eastern Harbour City,Six Cities,16700
2016,1,Stationary Energy (excluding Electricity Generation),,,36140,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2016,1,Stationary Energy (excluding Electricity Generation),,,316076,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2016,1,Stationary Energy (excluding Electricity Generation),,,1491886,Singleton,Upper Hunter,Regional,17000
2016,1,Stationary Energy (excluding Electricity Generation),,,30603,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2016,1,Stationary Energy (excluding Electricity Generation),,,111514,Snowy Valleys,Riverina Murray,Regional,17080
2016,1,Stationary Energy (excluding Electricity Generation),,,28866,Strathfield,Eastern Harbour City,Six Cities,17100
2016,1,Stationary Energy (excluding Electricity Generation),,,63414,Sutherland Shire,Central River City,Six Cities,17150
2016,1,Stationary Energy (excluding Electricity Generation),,,308289,Sydney,Eastern Harbour City,Six Cities,17200
2016,1,Stationary Energy (excluding Electricity Generation),,,125886,Tamworth Regional,New England North West,Regional,17310
2016,1,Stationary Energy (excluding Electricity Generation),,,14285,Temora,Riverina Murray,Regional,17350
2016,1,Stationary Energy (excluding Electricity Generation),,,16230,Tenterfield,New England North West,Regional,17400
2016,1,Stationary Energy (excluding Electricity Generation),,,60927,The Hills Shire,Central River City,Six Cities,17420
2016,1,Stationary Energy (excluding Electricity Generation),,,23749,Tweed,North Coast,Regional,17550
2016,1,Stationary Energy (excluding Electricity Generation),,,3282,Unincorporated NSW,Far West,Regional,19399
2016,1,Stationary Energy (excluding Electricity Generation),,,27063,Upper Hunter Shire,Upper Hunter,Regional,17620
2016,1,Stationary Energy (excluding Electricity Generation),,,1986,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2016,1,Stationary Energy (excluding Electricity Generation),,,1140,Uralla,New England North West,Regional,17650
2016,1,Stationary Energy (excluding Electricity Generation),,,64843,Wagga Wagga,Riverina Murray,Regional,17750
2016,1,Stationary Energy (excluding Electricity Generation),,,10185,Walcha,New England North West,Regional,17850
2016,1,Stationary Energy (excluding Electricity Generation),,,40775,Walgett,Far West,Regional,17900
2016,1,Stationary Energy (excluding Electricity Generation),,,62803,Warren,Central West and Orana,Regional,17950
2016,1,Stationary Energy (excluding Electricity Generation),,,64098,Warrumbungle Shire,Central West and Orana,Regional,18020
2016,1,Stationary Energy (excluding Electricity Generation),,,34608,Waverley,Eastern Harbour City,Six Cities,18050
2016,1,Stationary Energy (excluding Electricity Generation),,,30699,Weddin,Central West and Orana,Regional,18100
2016,1,Stationary Energy (excluding Electricity Generation),,,61903,Wentworth,Far West,Regional,18200
2016,1,Stationary Energy (excluding Electricity Generation),,,68447,Willoughby,Eastern Harbour City,Six Cities,18250
2016,1,Stationary Energy (excluding Electricity Generation),,,483365,Wingecarribee,South East and Tablelands,Regional,18350
