Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,90,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,25,Bega Valley,South East and Tablelands,Regional,10550
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,20,Bega Valley,South East and Tablelands,Regional,10550
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,9,Bega Valley,South East and Tablelands,Regional,10550
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,26,Bega Valley,South East and Tablelands,Regional,10550
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-267729,Bega Valley,South East and Tablelands,Regional,10550
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-352648,Bega Valley,South East and Tablelands,Regional,10550
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-737038,Bega Valley,South East and Tablelands,Regional,10550
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-590136,Bega Valley,South East and Tablelands,Regional,10550
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,130499,Bega Valley,South East and Tablelands,Regional,10550
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,75021,Bega Valley,South East and Tablelands,Regional,10550
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,-34339,Bega Valley,South East and Tablelands,Regional,10550
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,-12310,Bega Valley,South East and Tablelands,Regional,10550
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,2919,Bega Valley,South East and Tablelands,Regional,10550
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,6819,Bega Valley,South East and Tablelands,Regional,10550
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,5992,Bega Valley,South East and Tablelands,Regional,10550
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,3933,Bega Valley,South East and Tablelands,Regional,10550
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,1543,Bellingen,North Coast,Regional,10600
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,249,Bellingen,North Coast,Regional,10600
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,35,Bellingen,North Coast,Regional,10600
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,465,Bellingen,North Coast,Regional,10600
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-120906,Bellingen,North Coast,Regional,10600
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-64804,Bellingen,North Coast,Regional,10600
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-87897,Bellingen,North Coast,Regional,10600
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-95956,Bellingen,North Coast,Regional,10600
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,71471,Bellingen,North Coast,Regional,10600
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,42291,Bellingen,North Coast,Regional,10600
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,45033,Bellingen,North Coast,Regional,10600
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,35113,Bellingen,North Coast,Regional,10600
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,764,Bellingen,North Coast,Regional,10600
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,328,Bellingen,North Coast,Regional,10600
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,193,Bellingen,North Coast,Regional,10600
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,314,Bellingen,North Coast,Regional,10600
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,-9090,Berrigan,Riverina Murray,Regional,10650
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,-28406,Berrigan,Riverina Murray,Regional,10650
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,-5725,Berrigan,Riverina Murray,Regional,10650
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,-44650,Berrigan,Riverina Murray,Regional,10650
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-2981,Berrigan,Riverina Murray,Regional,10650
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-8545,Berrigan,Riverina Murray,Regional,10650
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-6759,Berrigan,Riverina Murray,Regional,10650
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-3653,Berrigan,Riverina Murray,Regional,10650
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,-4853,Berrigan,Riverina Murray,Regional,10650
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,-8680,Berrigan,Riverina Murray,Regional,10650
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,-1631,Berrigan,Riverina Murray,Regional,10650
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,-6689,Berrigan,Riverina Murray,Regional,10650
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,81,Berrigan,Riverina Murray,Regional,10650
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,-37,Berrigan,Riverina Murray,Regional,10650
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,116,Berrigan,Riverina Murray,Regional,10650
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,-75,Berrigan,Riverina Murray,Regional,10650
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,68,Blacktown,Central River City,Six Cities,10750
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,1,Blacktown,Central River City,Six Cities,10750
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,-55,Blacktown,Central River City,Six Cities,10750
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,-63,Blacktown,Central River City,Six Cities,10750
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,191568,Blacktown,Central River City,Six Cities,10750
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,197663,Blacktown,Central River City,Six Cities,10750
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,164996,Blacktown,Central River City,Six Cities,10750
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,57757,Blacktown,Central River City,Six Cities,10750
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,3496,Blacktown,Central River City,Six Cities,10750
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,2275,Blacktown,Central River City,Six Cities,10750
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,2447,Blacktown,Central River City,Six Cities,10750
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,2857,Blacktown,Central River City,Six Cities,10750
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,7218,Blacktown,Central River City,Six Cities,10750
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,3380,Blacktown,Central River City,Six Cities,10750
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,3961,Blacktown,Central River City,Six Cities,10750
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,3991,Blacktown,Central River City,Six Cities,10750
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,-35457,Bland,Riverina Murray,Regional,10800
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,-20937,Bland,Riverina Murray,Regional,10800
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,114688,Bland,Riverina Murray,Regional,10800
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,-21607,Bland,Riverina Murray,Regional,10800
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,99526,Bland,Riverina Murray,Regional,10800
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,101050,Bland,Riverina Murray,Regional,10800
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,84696,Bland,Riverina Murray,Regional,10800
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,55045,Bland,Riverina Murray,Regional,10800
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,-9227,Bland,Riverina Murray,Regional,10800
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,-15677,Bland,Riverina Murray,Regional,10800
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,16122,Bland,Riverina Murray,Regional,10800
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,11713,Bland,Riverina Murray,Regional,10800
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,91,Bland,Riverina Murray,Regional,10800
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,55,Bland,Riverina Murray,Regional,10800
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,98,Bland,Riverina Murray,Regional,10800
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,-55,Bland,Riverina Murray,Regional,10800
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,-1932,Blayney,Central West and Orana,Regional,10850
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,-7781,Blayney,Central West and Orana,Regional,10850
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,-8871,Blayney,Central West and Orana,Regional,10850
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,-9972,Blayney,Central West and Orana,Regional,10850
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-25193,Blayney,Central West and Orana,Regional,10850
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-3962,Blayney,Central West and Orana,Regional,10850
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-31874,Blayney,Central West and Orana,Regional,10850
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-20347,Blayney,Central West and Orana,Regional,10850
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,-9886,Blayney,Central West and Orana,Regional,10850
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,-24640,Blayney,Central West and Orana,Regional,10850
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,-18863,Blayney,Central West and Orana,Regional,10850
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,-5549,Blayney,Central West and Orana,Regional,10850
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,8575,Blayney,Central West and Orana,Regional,10850
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,4966,Blayney,Central West and Orana,Regional,10850
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,12,Blayney,Central West and Orana,Regional,10850
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,-234,Blayney,Central West and Orana,Regional,10850
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,2,Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,3,Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,1,Blue Mountains,Western Parkland City,Six Cities,10900
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,3,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-137121,Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-117980,Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-145292,Blue Mountains,Western Parkland City,Six Cities,10900
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-121476,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,810,Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,1884,Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,3016,Blue Mountains,Western Parkland City,Six Cities,10900
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,3185,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,2856,Blue Mountains,Western Parkland City,Six Cities,10900
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,1764,Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,1686,Blue Mountains,Western Parkland City,Six Cities,10900
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,2001,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,5048,Bogan,Central West and Orana,Regional,10950
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,63342,Bogan,Central West and Orana,Regional,10950
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,173739,Bogan,Central West and Orana,Regional,10950
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,117697,Bogan,Central West and Orana,Regional,10950
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-113906,Bogan,Central West and Orana,Regional,10950
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-93339,Bogan,Central West and Orana,Regional,10950
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-58149,Bogan,Central West and Orana,Regional,10950
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-44520,Bogan,Central West and Orana,Regional,10950
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,132506,Bogan,Central West and Orana,Regional,10950
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,369333,Bogan,Central West and Orana,Regional,10950
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,1203603,Bogan,Central West and Orana,Regional,10950
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,757575,Bogan,Central West and Orana,Regional,10950
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,289,Bogan,Central West and Orana,Regional,10950
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,689,Bogan,Central West and Orana,Regional,10950
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,767,Bogan,Central West and Orana,Regional,10950
